error_type,query,module,offending_string,matched_token,category,is_dead
relevance,2025 australian open results,peopleAlsoAsk,Who won the 2025 Australian Open pickleball?,llm_irrelevant,off_topic,no
relevance,2025 australian open results,peopleAlsoAsk,How much money did the Australian Open make in 2025?,llm_irrelevant,off_topic,no
relevance,2025 australian open results,peopleAlsoAsk,What to expect at the 2022 Australian Open semi-finals?,llm_irrelevant,off_topic,no
relevance,star tribune vikings news,peopleAlsoAsk,How did the Vikings scam start?,llm_irrelevant,off_topic,no
ads on sensitive content,calamity loan update,ads_evaluation,"Same-Day Funding Available - Personal Loans Up To $100,000",inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,"$100-$5,000 Same Day Deposit - Online Loans, Approved Today",inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,$250 to $3000 Same Day Deposit - $250-$3000 Cash Immediately,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,adHeader-1753360142444-1360051302-359854,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,"$100-$5,000 Same Day Deposit - Online Loans, Approved Today",inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,Spotloan Personal Loans - Spotloan - Fast Loans,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,$250 to $3000 Same Day Deposit - $250-$3000 Cash Immediately,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,"7 Best Unsecured Loans 2025 - When Banks Say No, We Say Yes",inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,adHeader-1753360142444-1360051302-12569,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,calamity loan update,ads_evaluation,"Same-Day Funding Available - Personal Loans Up To $100,000",inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,armenia,ads_evaluation,24/7 self check-in in Armenia - Top-Rated in Armenia,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,armenia,ads_evaluation,920 Hotels in Armenia - A Booking for Everyone,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,armenia,ads_evaluation,adHeader-1753360845657-311409458-176647,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,Autism Diagnostic Observation - Intervention Resources,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,Autism Definition - Symptoms Of Autism - Autism 101,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,Repetitive Behaviors In Autism Explained - Signs Of Autism,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,adHeader-1753360912597-93319497-342616,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,Autism Diagnostic Observation - Intervention Resources,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,autism,ads_evaluation,adHeader-1753360912597-93260172-69801,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,columbia university,ads_evaluation,adHeader-1753361442732-1691816372-575947,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool FC Official Shop - LFC Sale: up to 60% Off,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,adHeader-1753362687478-1415651488-539767,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,adHeader-1753362687479-1415651488-727869,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool Fc Fc | Tickets 2025 - Single Game Tickets,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool FC - Free Shipping Every Day,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Shop Liverpool International Soccer - Shop All Offical Merch,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool FC Official Shop - LFC Sale: up to 60% Off,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool Soccer Merchandise,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,liverpool football club,ads_evaluation,Liverpool Fc Fc | Tickets 2025 - Single Game Tickets,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,_aid,ads_evaluation,College Ave Student Loans&reg; - Graduate Student Loans,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,_aid,ads_evaluation,College Ave Student Loans&reg; - Graduate Student Loans,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,_aid,ads_evaluation,adHeader-1753364387580-1316540886-804763,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,_aid,ads_evaluation,adHeader-1753364387580-1316540886-564340,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,aid,ads_evaluation,adHeader-1753364462204-1378569212-100114,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,aid,ads_evaluation,adHeader-1753364462204-1378569212-373726,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,aid,ads_evaluation,College Ave Student Loans&reg; - Apply For An Education Loan,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,aid,ads_evaluation,College Ave Student Loans&reg; - Apply For An Education Loan,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,2025 Thailand Travel Deals - Thailand Travel Packages,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,adHeader-1753364682530-878111784-200938,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,Flights To Thailand - USA to Thailand,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,adHeader-1753364682529-878111784-11429,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,Thailand - The 10 Best Hotels - Unbelievably Cheap Prices!,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,2025 Thailand Travel Deals - Thailand Travel Packages,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,Thailand - See Thailand Your Way - 100% Tailor-made Trips,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,Thailand - The 10 Best Hotels - Unbelievably Cheap Prices!,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,thailand,ads_evaluation,Hotels from $7/night - Thailand - Hotels in Thailand,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,7-eleven,ads_evaluation,adHeader-1753365136951-1176261739-302655,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,7-eleven,ads_evaluation,Order 7-Eleven Online - In as Fast as 30 Minutes,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,787 crash,ads_evaluation,adHeader-1753365190213-2066636991-137858,inappropriate_ad,inappropriate_advertising,no
ads on sensitive content,787 crash,ads_evaluation,Cessna Crash - No Fees Unless We Win - The Beasley Firm,inappropriate_ad,inappropriate_advertising,no
