error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
relevance,bullets or ballots cast,peopleAlsoAsk,How to cast bullets?,llm_irrelevant,off_topic,no,,,
relevance,crcl stock quote,peopleAlsoAsk,What does CrCL stand for?,llm_irrelevant,off_topic,no,,,
relevance,swiss glacier collapse,peopleAlsoAsk,Did the Birch glacier collapse?,llm_irrelevant,off_topic,no,,,
relevance,apple share price,peopleAlsoAsk,Where does Apple sell its products?,llm_irrelevant,off_topic,no,,,
relevance,jessica radcliffe,peopleAlsoAsk,Who is Elizabeth Radcliffe?,llm_irrelevant,off_topic,no,,,
relevance,jessica radcliffe,peopleAlsoAsk,Who is Paula Radcliffe?,llm_irrelevant,off_topic,no,,,
relevance,idaho murders update today,peopleAlsoAsk,Did a battery die at a University of Idaho home?,llm_irrelevant,off_topic,no,,,
relevance,idaho murders update today,peopleAlsoAsk,Could David's murder be tied to the Lewis-Clark Valley murders?,llm_irrelevant,off_topic,no,,,
relevance,2025 nhl entry draft wikipedia,peopleAlsoAsk,When was the 2025 NBA draft?,llm_irrelevant,off_topic,no,,,
relevance,dallas cowboys trade,peopleAlsoAsk,What are the Dallas Cowboys POS transactions for 2021?,llm_irrelevant,off_topic,no,,,
sensitive_terms,hurricane forecasters eye 'sig,sensitive_terms_checker,,,natural_disasters,no,high,0.78,"References hurricane forecasters monitoring a potential storm (likely a newsy, event-focused query). Despite truncation ('sig'), it implies an active or impending hurricane, which is a natural disaster topic."
sensitive_terms,turkey earthquake,sensitive_terms_checker,,,natural_disasters,no,high,0.7,"Location + 'earthquake' strongly suggests a natural disaster in Turkey (e.g., major quakes or updates). While recency isn't stated, the topic inherently involves harm and casualties; sensitivity is moderate due to ambiguity."
sensitive_terms,"current evacuation orders in effect for carbondale, co",sensitive_terms_checker,,,natural_disasters,no,high,0.92,"Query seeks current evacuation orders for a specific location, indicating an ongoing emergency likely due to a wildfire or flood. Real-time event context makes it sensitive for advertising."
sensitive_terms,idaho murders update today,sensitive_terms_checker,,,violence_events,no,critical,0.95,"The query seeks a 'today' update on the Idaho murders, indicating ongoing coverage of a violent multi-homicide case with casualties. This fits sensitive violence events and has clear recency cues."
sensitive_terms,israel hamas,sensitive_terms_checker,,,civil_unrest,no,high,0.92,"Broad query likely refers to the ongoing Israel–Hamas war, an active armed conflict with ongoing casualties. Topic: Israel–Hamas war."
sensitive_terms,invest 97l spaghetti models,sensitive_terms_checker,,,natural_disasters,no,high,0.78,"References 'Invest 97L' and 'spaghetti models', which are used for active tropical cyclone tracking. This indicates an ongoing or imminent storm/hurricane context, a natural disaster topic even without explicit mention of damage or casualties."
sensitive_terms,lenexa house fire,sensitive_terms_checker,,,sensitive_deaths,no,medium,0.74,"Query suggests a specific residential fire incident in Lenexa. House fires are tragic accidents that can involve injuries or fatalities, making this content sensitive for ads. No explicit recency or casualties provided, so confidence is moderate-high."
sensitive_terms,pagosa springs fire update today,sensitive_terms_checker,,,natural_disasters,no,high,0.92,"Query seeks a 'fire update today' for Pagosa Springs, indicating an active wildfire/natural disaster with potential evacuations and harm. Recency cue ('today') increases sensitivity."
sensitive_terms,pagosa spring fire oak fire,sensitive_terms_checker,,,natural_disasters,no,high,0.72,"Query mentions 'fire' tied to a location (Pagosa Springs) and a named incident ('Oak Fire'), which commonly refer to wildfires. Likely about active or recent wildfire events, though recency is unspecified, so some ambiguity remains."
sensitive_terms,milwaukee flooding,sensitive_terms_checker,,,natural_disasters,no,high,0.8,"Place-specific disaster query likely refers to a flood event in Milwaukee, which can involve damage, evacuations, or casualties. No explicit date, but intent appears event-focused."
sensitive_terms,hurricane erin 2025,sensitive_terms_checker,,,natural_disasters,no,high,0.85,"Query references a named hurricane with the current year, suggesting an active or developing storm event. Natural disaster coverage is typically sensitive for advertising."
sensitive_terms,kidsex,sensitive_terms_checker,,,unknown,no,unknown,0.98,"The query explicitly suggests sexual content involving minors, which is highly inappropriate for advertising. This does not fit the provided event categories, so category is null."
sensitive_terms,flooding in milwaukee,sensitive_terms_checker,,,natural_disasters,no,high,0.75,"Location-specific query about 'flooding' suggests an event-related natural disaster (flood) likely seeking updates or impacts. No explicit recency or casualties, but still event-like and potentially ongoing."
sensitive_terms,wisconsin flooding,sensitive_terms_checker,,,natural_disasters,no,high,0.78,"The query references 'flooding' in a specific location, implying a natural disaster and likely news about impacts or damage. While no recency or casualties are specified, this is typically event-related and unsuitable for ads. Temporal uncertainty lowers confidence slightly."
sensitive_terms,911 attack,sensitive_terms_checker,,,terrorism,no,critical,0.9,"The query explicitly references an 'attack' associated with 9/11, indicating the September 11 terrorist attacks. Despite being historical, the explicit violent event cue makes it sensitive for advertising."
sensitive_terms,russia-ukraine war,sensitive_terms_checker,,,civil_unrest,no,high,0.92,Ongoing armed conflict between Russia and Ukraine with continuing violence and casualties. Topic: Russia–Ukraine war.
sensitive_terms,cdc shooting,sensitive_terms_checker,,,violence_events,no,critical,0.9,"Contains the explicit violence keyword 'shooting'. Paired with 'CDC', it likely refers to a shooting incident or related coverage. Even if about statistics, the topic involves gun violence, which is sensitive for ads. No recency cues, but still clearly violent content."
sensitive_terms,brandon blackstock death,sensitive_terms_checker,,,sensitive_deaths,no,medium,0.8,"The query seeks information about the death of a named individual/public figure, which is a sensitive mortality topic even without explicit recency."
sensitive_terms,wisconsin state fair flooding,sensitive_terms_checker,,,natural_disasters,no,high,0.78,"The query references flooding at a specific venue (Wisconsin State Fair), indicating a likely event-related natural disaster with potential harm/disruption. While no casualties or date are mentioned, it suggests recent news coverage."
sensitive_terms,milwaukee flash floods,sensitive_terms_checker,,,natural_disasters,no,high,0.8,"Location-specific query about 'flash floods' suggests an acute natural disaster event with potential harm or ongoing impacts. No explicit date, but phrasing implies incident/news context rather than general preparedness."
sensitive_terms,active shooter in georgia,sensitive_terms_checker,,,violence_events,no,critical,0.97,"The phrase 'active shooter' explicitly indicates an ongoing violent incident with potential casualties in Georgia, making it highly sensitive and likely current."
sensitive_terms,cdc atlanta shooting,sensitive_terms_checker,,,violence_events,no,critical,0.92,"Explicit mention of a 'shooting' tied to a specific location (CDC in Atlanta) indicates a violent incident likely involving harm, making it inappropriate for advertising."
sensitive_terms,california warehouse explosion,sensitive_terms_checker,,,sensitive_deaths,no,medium,0.8,Query suggests a harmful industrial accident (warehouse explosion) likely involving injuries or fatalities in California. No terrorism cues; not a natural disaster. Treated as a sensitive tragic incident.
sensitive_terms,milwaukee flash flooding,sensitive_terms_checker,,,natural_disasters,no,high,0.8,"Mentions 'flash flooding' in a specific location, indicating an acute natural disaster event likely tied to recent or ongoing impacts where ads would be inappropriate."
sensitive_terms,russo-ukrainian war,sensitive_terms_checker,,,civil_unrest,no,high,0.92,Explicit reference to an ongoing war/conflict with violence and casualties. Topic: Russia–Ukraine war.
